"login__-","id__-","node_id__-","avatar_url__-","gravatar_id__-","url__-","html_url__-","followers_url__-","following_url__-","gists_url__-","starred_url__-","subscriptions_url__-","organizations_url__-","repos_url__-","events_url__-","received_events_url__-","type__-","site_admin__-"
"lboaretto","35883","MDQ6VXNlcjM1ODgz","https://avatars1.githubusercontent.com/u/35883?v=4","","https://api.github.com/users/lboaretto","https://github.com/lboaretto","https://api.github.com/users/lboaretto/followers","https://api.github.com/users/lboaretto/following{/other_user}","https://api.github.com/users/lboaretto/gists{/gist_id}","https://api.github.com/users/lboaretto/starred{/owner},{/repo}","https://api.github.com/users/lboaretto/subscriptions","https://api.github.com/users/lboaretto/orgs","https://api.github.com/users/lboaretto/repos","https://api.github.com/users/lboaretto/events{/privacy}","https://api.github.com/users/lboaretto/received_events","User","False"
"caferrari","89180","MDQ6VXNlcjg5MTgw","https://avatars0.githubusercontent.com/u/89180?v=4","","https://api.github.com/users/caferrari","https://github.com/caferrari","https://api.github.com/users/caferrari/followers","https://api.github.com/users/caferrari/following{/other_user}","https://api.github.com/users/caferrari/gists{/gist_id}","https://api.github.com/users/caferrari/starred{/owner},{/repo}","https://api.github.com/users/caferrari/subscriptions","https://api.github.com/users/caferrari/orgs","https://api.github.com/users/caferrari/repos","https://api.github.com/users/caferrari/events{/privacy}","https://api.github.com/users/caferrari/received_events","User","False"
"develmcz","2838419","MDQ6VXNlcjI4Mzg0MTk=","https://avatars1.githubusercontent.com/u/2838419?v=4","","https://api.github.com/users/develmcz","https://github.com/develmcz","https://api.github.com/users/develmcz/followers","https://api.github.com/users/develmcz/following{/other_user}","https://api.github.com/users/develmcz/gists{/gist_id}","https://api.github.com/users/develmcz/starred{/owner},{/repo}","https://api.github.com/users/develmcz/subscriptions","https://api.github.com/users/develmcz/orgs","https://api.github.com/users/develmcz/repos","https://api.github.com/users/develmcz/events{/privacy}","https://api.github.com/users/develmcz/received_events","User","False"
"robertogerson","305306","MDQ6VXNlcjMwNTMwNg==","https://avatars1.githubusercontent.com/u/305306?v=4","","https://api.github.com/users/robertogerson","https://github.com/robertogerson","https://api.github.com/users/robertogerson/followers","https://api.github.com/users/robertogerson/following{/other_user}","https://api.github.com/users/robertogerson/gists{/gist_id}","https://api.github.com/users/robertogerson/starred{/owner},{/repo}","https://api.github.com/users/robertogerson/subscriptions","https://api.github.com/users/robertogerson/orgs","https://api.github.com/users/robertogerson/repos","https://api.github.com/users/robertogerson/events{/privacy}","https://api.github.com/users/robertogerson/received_events","User","False"
"charlescorreaws","4529369","MDQ6VXNlcjQ1MjkzNjk=","https://avatars1.githubusercontent.com/u/4529369?v=4","","https://api.github.com/users/charlescorreaws","https://github.com/charlescorreaws","https://api.github.com/users/charlescorreaws/followers","https://api.github.com/users/charlescorreaws/following{/other_user}","https://api.github.com/users/charlescorreaws/gists{/gist_id}","https://api.github.com/users/charlescorreaws/starred{/owner},{/repo}","https://api.github.com/users/charlescorreaws/subscriptions","https://api.github.com/users/charlescorreaws/orgs","https://api.github.com/users/charlescorreaws/repos","https://api.github.com/users/charlescorreaws/events{/privacy}","https://api.github.com/users/charlescorreaws/received_events","User","False"
"edgarportoramos","2992609","MDQ6VXNlcjI5OTI2MDk=","https://avatars1.githubusercontent.com/u/2992609?v=4","","https://api.github.com/users/edgarportoramos","https://github.com/edgarportoramos","https://api.github.com/users/edgarportoramos/followers","https://api.github.com/users/edgarportoramos/following{/other_user}","https://api.github.com/users/edgarportoramos/gists{/gist_id}","https://api.github.com/users/edgarportoramos/starred{/owner},{/repo}","https://api.github.com/users/edgarportoramos/subscriptions","https://api.github.com/users/edgarportoramos/orgs","https://api.github.com/users/edgarportoramos/repos","https://api.github.com/users/edgarportoramos/events{/privacy}","https://api.github.com/users/edgarportoramos/received_events","User","False"
"robertocr","719920","MDQ6VXNlcjcxOTkyMA==","https://avatars2.githubusercontent.com/u/719920?v=4","","https://api.github.com/users/robertocr","https://github.com/robertocr","https://api.github.com/users/robertocr/followers","https://api.github.com/users/robertocr/following{/other_user}","https://api.github.com/users/robertocr/gists{/gist_id}","https://api.github.com/users/robertocr/starred{/owner},{/repo}","https://api.github.com/users/robertocr/subscriptions","https://api.github.com/users/robertocr/orgs","https://api.github.com/users/robertocr/repos","https://api.github.com/users/robertocr/events{/privacy}","https://api.github.com/users/robertocr/received_events","User","False"
"felipematoz","499261","MDQ6VXNlcjQ5OTI2MQ==","https://avatars1.githubusercontent.com/u/499261?v=4","","https://api.github.com/users/felipematoz","https://github.com/felipematoz","https://api.github.com/users/felipematoz/followers","https://api.github.com/users/felipematoz/following{/other_user}","https://api.github.com/users/felipematoz/gists{/gist_id}","https://api.github.com/users/felipematoz/starred{/owner},{/repo}","https://api.github.com/users/felipematoz/subscriptions","https://api.github.com/users/felipematoz/orgs","https://api.github.com/users/felipematoz/repos","https://api.github.com/users/felipematoz/events{/privacy}","https://api.github.com/users/felipematoz/received_events","User","False"
"luizwbr","308603","MDQ6VXNlcjMwODYwMw==","https://avatars3.githubusercontent.com/u/308603?v=4","","https://api.github.com/users/luizwbr","https://github.com/luizwbr","https://api.github.com/users/luizwbr/followers","https://api.github.com/users/luizwbr/following{/other_user}","https://api.github.com/users/luizwbr/gists{/gist_id}","https://api.github.com/users/luizwbr/starred{/owner},{/repo}","https://api.github.com/users/luizwbr/subscriptions","https://api.github.com/users/luizwbr/orgs","https://api.github.com/users/luizwbr/repos","https://api.github.com/users/luizwbr/events{/privacy}","https://api.github.com/users/luizwbr/received_events","User","False"
"aaoliveira","802991","MDQ6VXNlcjgwMjk5MQ==","https://avatars1.githubusercontent.com/u/802991?v=4","","https://api.github.com/users/aaoliveira","https://github.com/aaoliveira","https://api.github.com/users/aaoliveira/followers","https://api.github.com/users/aaoliveira/following{/other_user}","https://api.github.com/users/aaoliveira/gists{/gist_id}","https://api.github.com/users/aaoliveira/starred{/owner},{/repo}","https://api.github.com/users/aaoliveira/subscriptions","https://api.github.com/users/aaoliveira/orgs","https://api.github.com/users/aaoliveira/repos","https://api.github.com/users/aaoliveira/events{/privacy}","https://api.github.com/users/aaoliveira/received_events","User","False"
